length,num,title,link,date,sector,subsector,author,points
35,16,"Oil price will have a 'significant influence' on Russia's growth story, wealth fund chief says",https://www.cnbc.com/oil-gas/?page=0,2019/11/20,Energy,oil-gas/,Holly Ellyatt,"['Oil prices will have a major impact on the direction that the Russian economy will take, according to the chief executive of the Russian Direct Investment Fund (RDIF).', 'He said the alliance or Russia and major oil producer group OPEC (known as OPEC+) is ""ready to act"" if necessary, however.', '""We\'re quite optimistic about the Russian market going forward,"" Kirill Dmitriev, CEO of Russia\'s sovereign wealth fund RDIF, told CNBC.']"
35,17,"Growth in global oil demand more than doubled in the third quarter, IEA reveals",https://www.cnbc.com/oil-gas/?page=0,2019/11/15,Energy,oil-gas/,Elliot Smith,"[""China was the largest contributor, with demand increasing by 640,000 barrels a day year-on-year, and the energy agency's closely-watched report projected a year-on-year acceleration in global growth of 1.9 million barrels per day for the final quarter of 2019."", 'The IEA said the latest figures highlighted the ""increasing disparity between the calm oil market of today and heightened geopolitical tensions.""']"
35,18,Turkey's behavior is 'deeply concerning' but we need patience with them: ex-CIA chief,https://www.cnbc.com/oil-gas/?page=0,2019/11/14,Energy,oil-gas/,Natasha Turak,"['""This is a sensitive time in the relationship not just between Turkey and the U.S. but Turkey and its NATO partners writ large,"" General David Petraeus told CNBC.', ""Turkey's Incirlik airbase houses an estimated 50 U.S. nuclear bombs and 5,000 American military personnel."", 'Petraeus\' comments come as Trump hosts Turkish President Recep Erdogan in Washington, a visit many U.S. lawmakers have called ""shameful"" in the wake of Turkey\'s invasion of Northeastern Syria.\xa0']"
35,19,Who's winning Trump's China trade war? Shipping containers tell the real story,https://www.cnbc.com/oil-gas/?page=0,2019/11/13,Energy,oil-gas/,Lori Ann LaRocco,"['President Trump announced a month ago that his administration had clinched a ""phase one"" trade deal with China. ', 'Since then, countless declarations of ""winning,"" but agreeing to a deal only ""if the terms are right,"" have added to the year and half long conflicting cacophony of rhetoric about the content of any trade agreement with China.', 'Bottom line? The constant bluster has blurred the reality of what a deal would even accomplish, if anything at all. The only way to shovel away the pile of broken promises and contradictory comments is to analyze the flow of maritime trade.']"
35,20,OPEC's Barkindo: Shale producers are concerned that their slowdown is becoming a 'fast deceleration',https://www.cnbc.com/oil-gas/?page=0,2019/11/13,Energy,oil-gas/,Natasha Turak,"['U.S. oil rig count dropped by 2% at the end of October to 700, the lowest in two and a half years.', 'The industry is facing capital retreat as investors pull away from drilling companies, unwilling to spend more money on unprofitable growth.', 'OPEC will determine its forward trajectory at its Vienna meeting on December 5, where it may extend its oil production cuts or choose to deepen them.']"
35,21,"The ball is in Iran's court on talks, senior US energy official says",https://www.cnbc.com/oil-gas/?page=0,2019/11/12,Energy,oil-gas/,Natasha Turak,"['The comments come as Iran steadily rolls back its commitments to the 2015 Iranian nuclear deal, 16 months after President Donald Trump withdrew from it.', 'The International Atomic Energy Agency revealed on Monday that Iran is enriching uranium at its heavily fortified underground Fordow site and speeding up enrichment generally.', 'Critics of the Trump administration argue that its ""maximum pressure"" policy is not conducive to rapprochement.']"
35,22,"Global governments 'still coming to terms' with America's energy abundance, official says",https://www.cnbc.com/oil-gas/?page=0,2019/11/12,Energy,oil-gas/,Holly Ellyatt,"['The U.S. has undergone an ""unprecedented energy transformation"" and is changing international energy market dynamics to such an extent that other countries are only just accepting it, according to the U.S. assistant secretary of state for energy resources.', 'The boom in energy production in the states means that in the fourth quarter of 2020, the U.S. is expected to become a net energy exporter, exporting more energy products than it imports.']"
35,23,"Aramco investors should consider Saudi Arabia's 'control' and 'influence,' analysts say",https://www.cnbc.com/oil-gas/?page=0,2019/11/12,Energy,oil-gas/,Huileng Tan,"[""Saudi Aramco, the world's biggest oil company, announced Saturday that up to 0.5% of the firm's shares will be allocated to individual investors in its initial public offering.""]"
35,24,"Elizabeth Warren's fracking ban pledge shows a 'total lack of understanding,' oil guru Yergin says",https://www.cnbc.com/oil-gas/?page=0,2019/11/11,Energy,oil-gas/,Natasha Turak,"['Elizabeth Warren has pledged to put a ""total moratorium on all new fossil fuel leases for drilling offshore and on public lands"" and ""ban fracking everywhere"" on her first day in office.', ""Opponents of fracking, the fossil fuel extraction process that has catapulted the U.S. to becoming the world's largest producer of oil, have sounded the alarm over its negative environmental impacts."", 'Natural gas mining and extraction employs more than 162,000 workers in the U.S.']"
35,25,"Top energy CEOs defend carbon efforts, call for realism from campaigners",https://www.cnbc.com/oil-gas/?page=0,2019/11/11,Energy,oil-gas/,David Reid,"['BP CEO says he’s ""alarmed"" to hear words like ""extinction, crisis, and emergency.""', 'His counterpart at Siemens says the current energy mix is preventing poverty for millions.', ""Total's Patrick Pouyanne calls for less emotion and more rational thought in the climate change debate.""]"
